MSZoning,LotShape,HouseStyle,OverallQual,RoofStyle,ExterQual,Foundation,BsmtQual,BsmtExposure,HeatingQC,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageType,GarageFinish,GarageCars,SaleCondition,LotArea,Neighborhood,YearBuilt,YearRemodAdd,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,GrLivArea,GarageYrBlt,GarageArea,WoodDeckSF,OpenPorchSF,SalePrice
3,3,5,7,1,2,2,2,3,0,1,2,1,3,2,8,0,1,1,2,4,8450,5,2003,2003,706,150,856,1710,2003.0,548,0,61,208500
3,3,2,6,1,3,1,2,1,0,0,2,0,3,3,6,1,1,1,2,4,9600,24,1976,1976,978,284,1262,1262,1976.0,460,298,0,181500
3,0,5,7,1,2,2,2,2,0,1,2,1,3,2,6,1,1,1,2,4,11250,5,2001,2002,486,434,920,1786,2001.0,608,0,42,223500
3,0,5,7,1,3,0,3,3,2,1,1,0,3,2,7,1,5,2,3,0,9550,6,1915,1970,216,540,756,1717,1998.0,642,0,35,140000
3,0,5,8,1,2,2,2,0,0,1,2,1,4,2,9,1,1,1,3,4,14260,15,2000,2000,655,490,1145,2198,2000.0,836,192,84,250000
3,0,0,5,1,3,4,2,3,0,1,1,1,1,3,5,0,1,2,2,4,14115,11,1993,1995,732,64,796,1362,1993.0,480,40,30,143000
3,3,2,8,1,2,2,0,0,0,1,2,0,3,2,7,1,1,1,2,4,10084,21,2004,2005,1369,317,1686,1694,2004.0,636,255,57,307000
3,0,5,7,1,3,1,2,2,0,1,2,1,3,3,7,2,1,1,2,4,10382,14,1973,1973,859,216,1107,2090,1973.0,484,235,204,200000
4,3,0,7,1,3,0,3,3,2,0,2,0,2,3,8,2,5,2,2,0,6120,17,1931,1950,0,952,952,1774,1931.0,468,90,0,129900
3,3,1,5,1,3,0,3,3,0,1,1,0,2,3,5,2,1,1,1,4,7420,3,1939,1950,851,140,991,1077,1939.0,205,0,4,118000
3,3,2,5,3,3,1,3,3,0,1,1,0,3,3,5,0,5,2,1,4,11200,19,1965,1965,906,134,1040,1040,1965.0,384,0,0,129500
3,0,5,9,3,0,2,0,3,0,1,3,0,4,0,11,2,3,0,3,5,11924,16,2005,2006,998,177,1175,2324,2005.0,736,147,21,345000
3,1,2,5,3,3,1,3,3,4,1,1,0,2,3,4,0,5,2,1,4,12968,19,1962,1962,737,175,912,912,1962.0,352,140,0,144000
3,0,2,7,1,2,2,2,0,0,0,2,0,3,2,7,1,1,1,3,5,10652,5,2006,2007,0,1494,1494,1494,2006.0,840,160,33,279500
3,0,2,6,3,3,1,3,3,4,1,1,1,2,3,5,1,1,1,1,4,10920,12,1960,1960,733,520,1253,1253,1960.0,352,0,213,157000
4,3,1,7,1,3,0,3,3,0,0,1,0,2,3,5,0,5,2,2,4,6120,3,1929,2001,0,832,832,854,1991.0,576,48,112,132000
3,0,2,6,1,3,1,3,3,0,1,1,0,2,3,5,1,1,0,2,4,11241,12,1970,1970,578,426,1004,1004,1970.0,480,0,0,149000
3,3,2,5,1,3,2,3,3,0,1,1,1,3,2,6,0,5,2,2,4,13695,20,2004,2004,646,468,1114,1114,2004.0,576,0,102,159000
3,3,2,5,3,3,1,3,3,4,0,1,0,3,3,6,0,1,2,1,0,7560,12,1958,1965,504,525,1029,1339,1958.0,294,0,0,139000
3,0,5,8,1,2,2,0,0,0,0,3,1,4,2,9,1,3,1,3,5,14215,16,2005,2006,0,1158,1158,2376,2005.0,853,240,154,325300
4,3,1,7,1,3,2,3,3,0,0,1,0,3,2,6,1,1,2,1,4,7449,9,1930,1950,0,637,637,1108,1930.0,280,0,0,139400
3,3,2,8,3,2,2,2,3,0,0,2,0,3,2,7,1,1,1,2,4,9742,5,2002,2002,0,1777,1777,1795,2002.0,534,171,159,230000
4,3,2,5,1,3,2,2,3,4,1,1,0,3,3,6,1,1,2,2,4,4224,10,1976,1976,840,200,1040,1060,1976.0,572,100,110,129900
3,0,2,5,1,3,1,3,2,0,1,1,0,3,2,6,1,1,2,1,4,8246,19,1968,2001,188,204,1060,1060,1968.0,270,406,90,154000
3,3,2,8,1,2,2,2,3,0,0,2,0,3,2,7,1,1,1,3,4,14230,16,2007,2007,0,1566,1566,1600,2007.0,890,0,56,256300
3,3,2,5,1,3,1,3,2,4,0,1,0,3,2,5,0,5,2,2,4,7200,12,1951,2000,234,180,900,900,2005.0,576,222,32,134800
3,3,2,8,1,2,2,0,3,0,1,2,0,3,2,7,1,1,1,3,4,11478,16,2007,2008,1218,486,1704,1704,2008.0,772,0,50,306000
3,0,2,5,1,3,1,3,1,4,1,1,0,2,3,6,2,1,1,1,4,16321,12,1957,1997,1277,207,1484,1600,1957.0,319,288,258,207500
4,0,2,4,1,3,0,3,3,1,0,1,0,1,1,4,0,5,2,1,4,6324,3,1927,1950,0,520,520,520,1920.0,240,49,0,68500
0,3,5,4,2,3,0,3,3,4,0,1,0,3,3,6,0,5,2,1,4,8500,9,1920,1950,0,649,649,1317,1920.0,250,0,54,40000
3,0,2,5,1,3,1,3,3,2,0,1,1,3,2,6,0,1,2,1,4,8544,19,1966,2006,0,1228,1228,1228,1966.0,271,0,65,149350
3,3,2,8,1,2,2,0,0,0,0,2,0,3,2,7,0,1,1,2,4,11049,5,2007,2007,0,1234,1234,1234,2007.0,484,0,30,179900
3,0,2,5,3,3,1,3,3,2,0,1,1,4,2,6,1,1,1,2,4,10552,12,1959,1959,1018,380,1398,1700,1959.0,447,0,38,165500
3,3,2,9,3,0,2,0,3,0,1,2,0,2,0,6,1,1,0,2,4,7313,16,2005,2005,1153,408,1561,1561,2005.0,556,203,47,277500
3,3,5,8,1,2,2,0,0,0,0,3,1,4,2,9,1,3,0,3,4,13418,16,2004,2005,0,1117,1117,2452,2004.0,691,113,32,309000
3,3,2,5,1,3,2,2,3,0,0,1,1,3,3,6,0,1,2,2,4,10859,5,1994,1995,0,1097,1097,1097,1995.0,672,392,64,145000
3,3,2,5,3,3,1,3,3,2,0,1,0,3,3,5,1,1,0,2,4,8532,12,1954,1990,1213,84,1297,1297,1954.0,498,0,0,153000
3,3,2,5,1,3,1,3,3,4,1,1,0,3,2,5,0,5,2,1,0,7922,12,1953,2007,731,326,1057,1057,1953.0,246,0,52,109000
3,3,2,6,1,3,1,3,3,0,0,2,0,3,3,6,1,1,1,2,0,8658,12,1965,1965,643,445,1088,1324,1965.0,440,0,138,160000
3,3,2,5,1,3,1,3,1,2,0,1,1,2,3,5,2,1,1,1,4,16905,23,1959,1959,967,383,1350,1328,1959.0,308,0,104,170000
3,0,6,5,1,3,1,2,0,2,1,1,0,2,2,5,0,1,1,2,4,9180,20,1983,1983,747,0,840,884,1983.0,504,240,0,144000
3,0,2,5,3,3,1,2,0,4,1,1,0,3,3,5,0,5,2,1,4,9200,5,1975,1980,280,167,938,938,1977.0,308,145,0,130250
3,3,2,5,1,3,1,3,3,0,1,1,0,3,3,6,0,1,1,1,4,7945,12,1959,1959,179,465,1150,1150,1959.0,300,0,0,141000
3,3,2,9,3,0,2,0,3,0,1,2,0,2,0,6,1,1,1,2,4,7658,16,2005,2005,456,1296,1752,1752,2005.0,576,196,82,319900
3,0,0,7,1,2,2,0,3,0,1,1,1,1,2,6,1,1,1,2,0,12822,11,2003,2003,1351,83,1434,2149,2003.0,670,168,43,239686
1,3,2,8,1,2,2,2,0,0,0,2,0,3,2,7,0,1,1,3,4,11096,21,2006,2006,24,1632,1656,1656,2006.0,826,0,146,249700
3,3,2,5,1,3,1,3,3,0,1,1,0,3,3,6,0,1,2,1,4,7742,19,1966,1966,763,192,955,955,1966.0,386,0,0,127000
3,1,5,6,1,3,2,2,0,2,0,2,0,3,3,6,0,1,0,2,4,13869,8,1997,1997,182,612,794,1470,1997.0,388,0,75,177000
4,3,0,6,1,3,2,3,3,4,0,1,0,3,3,6,1,5,2,2,4,6240,3,1934,1950,0,816,816,1176,1985.0,528,112,0,114500
4,1,2,5,1,1,1,2,1,4,1,1,0,2,3,5,0,4,2,2,4,8472,9,1963,1963,104,0,816,816,1963.0,516,106,0,110000
3,0,2,9,1,2,1,0,1,2,2,0,1,0,2,5,1,1,0,3,4,50271,24,1981,1987,1810,32,1842,1842,1981.0,894,857,72,385000
3,3,7,5,1,3,1,3,3,4,0,1,0,3,3,6,1,5,2,2,4,7134,12,1955,1955,384,0,384,1360,1962.0,572,0,50,130000
3,0,2,6,1,3,1,3,3,2,0,2,0,3,3,7,1,1,1,2,4,10175,12,1964,1964,490,935,1425,1425,1964.0,576,0,0,180500
1,3,5,8,1,2,2,2,3,0,1,2,1,3,2,7,0,1,0,2,0,2645,21,1999,2000,649,321,970,1739,1999.0,480,115,0,172500
3,0,5,7,1,2,2,2,3,0,0,2,1,3,2,7,0,1,1,2,4,11645,5,2004,2004,0,860,860,1720,2004.0,565,0,70,196500
3,1,5,10,3,0,2,0,1,0,0,3,1,3,2,10,1,3,0,3,5,13682,22,2006,2006,0,1410,1410,2945,2006.0,641,192,0,438780
3,3,2,5,1,3,1,3,0,0,0,1,0,2,3,4,0,5,2,1,4,7200,5,1972,1972,632,148,780,780,1973.0,352,196,0,124900
3,3,2,6,1,3,2,2,3,0,1,1,1,3,2,5,0,5,2,2,5,13072,20,2004,2004,941,217,1158,1158,2006.0,576,0,50,158000
4,3,4,5,1,3,0,3,3,4,0,1,0,3,1,6,0,5,2,1,4,7200,9,1920,1996,0,530,530,1111,1935.0,288,0,0,101000
3,0,2,8,1,2,2,2,2,0,0,2,0,2,2,6,1,1,1,2,4,6442,16,2006,2006,24,1346,1370,1370,2006.0,484,120,49,202500
4,0,5,7,1,3,0,3,3,2,0,2,0,3,3,9,0,5,2,2,4,10300,17,1921,1950,0,576,576,1710,1990.0,480,12,11,140000
3,3,5,7,1,3,2,2,3,0,1,2,1,3,2,8,0,1,1,2,4,9375,5,1997,1998,739,318,1057,2034,1998.0,645,576,36,219500
3,3,5,8,1,2,2,0,0,0,0,2,1,4,2,9,1,3,1,3,4,9591,16,2004,2005,0,1143,1143,2473,2004.0,852,192,151,317000
3,3,2,7,1,3,1,2,1,4,1,2,0,3,3,7,1,1,1,2,4,19900,12,1970,1989,912,1035,1947,2207,1970.0,576,301,0,180000
3,0,2,7,1,2,2,2,0,0,1,2,0,3,2,7,0,1,1,2,4,10665,5,2003,2003,1013,440,1453,1479,2003.0,558,144,29,226000
4,3,2,4,1,3,1,3,3,4,0,1,0,2,3,4,0,1,2,1,4,4608,17,1945,1950,0,747,747,747,1945.0,220,0,0,80000
3,3,0,7,1,2,1,3,3,4,0,2,0,3,3,7,1,1,0,2,4,15593,4,1953,1953,603,701,1304,2287,1953.0,667,0,21,225000
3,0,2,7,1,3,1,2,1,0,1,2,0,3,3,8,2,1,0,2,4,13651,12,1973,1973,1880,343,2223,2223,1973.0,516,300,0,244000
3,3,2,4,1,3,1,3,3,4,1,1,0,2,3,4,0,5,2,2,4,7599,11,1982,2006,565,280,845,845,1987.0,360,0,0,129500
3,0,5,7,1,3,2,2,3,2,0,2,1,3,3,7,1,1,0,2,4,10141,8,1998,1998,0,832,832,1718,1998.0,427,0,94,185000
3,3,2,5,1,3,1,3,3,2,1,1,0,3,3,6,0,1,2,2,4,10200,12,1954,2003,320,404,1086,1086,1989.0,490,0,0,144900
4,3,5,3,2,2,1,1,3,2,0,2,0,3,3,8,0,5,2,1,4,5790,17,1915,1950,0,840,840,1605,1915.0,379,0,0,107400
4,3,7,4,1,3,1,2,1,4,1,1,0,2,3,5,0,3,2,1,4,1596,10,1973,1973,462,0,462,988,1973.0,297,120,101,91000
3,0,2,4,1,3,1,3,3,0,0,1,0,2,3,4,0,5,2,1,4,8475,12,1956,1956,228,724,952,952,1956.0,283,0,0,135750
4,3,0,5,1,3,1,3,3,4,1,1,0,2,3,6,0,5,2,1,4,8635,3,1948,2001,336,295,672,1285,1948.0,240,0,0,127000
4,3,5,5,1,3,2,3,3,2,0,1,1,2,3,5,0,5,2,2,4,10440,17,1910,1981,0,440,440,1230,1966.0,440,74,0,110000
3,3,5,6,1,3,1,2,3,4,0,2,1,4,2,8,1,1,0,1,4,13000,12,1968,1968,448,448,896,2142,1968.0,509,0,72,193500
4,3,2,6,3,3,2,0,3,0,1,2,0,2,3,5,0,1,0,2,4,4500,11,1998,1998,1201,36,1237,1337,1998.0,405,0,199,153500
3,3,2,8,1,3,2,2,3,0,0,2,0,3,2,6,1,1,1,3,4,10206,21,2007,2007,33,1530,1563,1563,2007.0,758,144,99,245000
3,0,2,5,1,3,1,3,3,2,0,1,1,3,3,6,0,5,2,2,4,8892,12,1960,1960,0,1065,1065,1065,1974.0,461,74,0,126500
3,0,7,7,1,3,2,2,3,2,0,2,1,3,3,7,1,3,0,2,4,8530,8,1995,1996,0,384,384,1474,1995.0,400,120,72,168500
3,3,5,8,3,2,1,2,3,0,0,2,1,4,2,9,1,1,2,2,4,16059,15,1991,1992,0,1288,1288,2417,1991.0,462,127,82,260000
3,1,5,6,1,2,2,2,0,0,0,2,1,3,2,6,1,3,0,2,4,11911,8,2005,2005,0,684,684,1560,2005.0,400,100,38,174000
1,3,5,6,1,2,2,2,0,0,0,2,1,2,2,4,0,5,1,2,5,3951,21,2009,2009,0,612,612,1224,2009.0,528,0,234,164500
3,3,2,5,3,3,1,3,3,4,0,1,0,2,3,6,0,1,2,2,0,8500,12,1961,1961,600,635,1235,1235,1961.0,480,0,0,98600
3,0,2,5,1,3,0,2,3,0,1,1,0,2,3,5,0,5,2,2,4,13360,6,1921,2006,713,163,876,964,1921.0,432,0,0,163500
0,3,4,6,3,3,0,3,2,0,0,2,0,4,3,9,1,5,2,2,4,7200,17,1910,1998,1046,168,1214,2291,1900.0,506,0,0,133900
3,0,5,6,1,3,2,2,3,0,1,2,1,3,2,7,0,1,1,2,4,9337,5,1997,1997,648,176,824,1786,1997.0,684,0,162,204750
3,1,5,6,1,0,2,2,3,2,0,2,1,3,3,6,1,3,0,2,4,9765,8,1993,1993,310,370,680,1470,1993.0,420,232,63,185000
3,0,2,7,1,2,2,2,0,0,0,2,0,3,2,6,0,1,1,2,4,10264,5,1999,1999,1162,426,1588,1588,1999.0,472,158,29,214000
3,3,2,4,3,3,1,3,3,4,1,1,0,3,3,6,0,1,0,1,4,10921,7,1965,1965,520,440,960,960,1965.0,432,120,0,94750
3,3,2,5,1,3,0,3,3,1,0,1,0,2,3,5,0,2,2,1,0,10625,7,1920,1950,108,350,458,835,1920.0,366,0,0,83000
3,0,2,6,1,3,2,3,2,2,1,2,0,3,2,6,2,1,1,2,4,10603,14,1977,2001,1200,410,1610,1610,1977.0,480,168,68,205000
3,3,5,6,1,2,1,2,3,4,0,2,1,3,2,7,1,1,0,2,4,9206,20,1985,1985,0,741,741,1732,1985.0,476,192,46,178000
3,0,2,7,1,3,2,2,3,0,0,2,0,3,2,6,0,1,1,3,4,10402,5,2009,2009,0,1226,1226,1226,2009.0,740,0,36,198900
4,3,0,7,1,3,2,3,3,0,0,1,1,4,3,7,2,5,2,1,4,7758,9,1931,1950,224,816,1040,1818,1951.0,240,0,0,169500
1,3,5,8,3,2,2,0,3,0,0,2,1,3,2,9,1,1,1,2,4,9375,21,2003,2004,0,1053,1053,1992,2003.0,648,140,45,250000
4,3,2,4,4,3,0,1,3,2,0,1,0,2,3,6,0,5,2,1,4,10800,17,1885,1995,0,641,641,1047,1954.0,273,0,0,100000
4,3,2,5,1,3,1,3,3,0,0,1,0,2,3,5,0,5,2,1,5,6000,17,1948,1950,104,516,789,789,1948.0,250,0,0,115000
3,0,2,6,3,3,1,2,3,0,0,2,0,3,3,7,1,1,1,2,4,11751,14,1977,1977,705,1139,1844,1844,1977.0,546,0,122,190000
3,3,0,6,1,3,1,3,3,2,0,2,0,4,3,7,0,1,2,1,4,9525,7,1954,1972,444,550,994,1855,1954.0,325,182,0,136900
3,0,7,7,1,3,2,2,3,0,0,2,1,3,3,7,1,3,0,2,4,7750,8,2000,2000,250,134,384,1430,2000.0,400,180,0,180000
3,3,5,7,1,2,2,0,0,0,1,2,1,4,0,10,1,3,0,3,5,9965,5,2007,2007,984,280,1264,2696,2007.0,792,120,184,383970
3,3,2,6,3,3,1,2,2,4,1,2,0,3,2,7,2,2,2,2,0,21000,6,1953,1953,35,905,1809,2259,1953.0,450,166,120,217000
3,0,5,6,2,3,1,3,3,0,1,2,1,3,2,9,1,5,2,1,4,7259,6,1945,2002,774,104,1028,2320,1945.0,180,224,0,259500
1,3,5,6,1,3,2,2,3,2,0,2,1,2,3,5,1,5,2,2,4,3230,21,1999,1999,419,310,729,1458,1999.0,440,0,32,176000
3,3,2,5,1,3,1,3,3,4,0,1,0,3,3,6,1,1,2,1,4,11616,19,1962,1962,170,252,1092,1092,1962.0,288,0,20,139000
3,3,2,5,1,3,2,2,3,2,0,1,1,2,3,5,0,1,2,2,5,8536,7,2006,2007,0,1125,1125,1125,2007.0,430,80,64,155000
3,3,5,7,3,3,2,2,2,2,1,3,0,5,2,11,2,1,2,3,4,12376,20,1990,1990,1470,203,1673,3222,1990.0,594,367,0,320000
3,3,5,6,1,2,2,2,3,0,0,2,1,3,2,8,1,1,0,2,5,8461,5,2005,2006,0,728,728,1456,2005.0,390,0,24,163990
3,0,7,6,0,3,1,3,1,0,1,1,0,1,3,4,2,1,2,2,4,21453,4,1969,1969,938,0,938,988,1969.0,540,0,130,180000
4,3,0,4,1,3,2,3,3,2,0,1,0,3,3,4,0,5,2,1,4,6060,9,1939,1950,0,732,732,1123,1979.0,264,0,0,100000
3,3,2,6,3,3,1,3,3,2,0,1,0,3,3,5,0,1,2,1,4,9464,12,1958,1958,570,510,1080,1080,1958.0,288,0,0,136000
3,3,2,6,1,2,2,2,3,0,0,2,0,2,2,5,0,1,1,2,4,7892,20,1993,1993,300,899,1199,1199,1993.0,530,0,63,153900
3,0,2,6,1,3,1,2,3,4,0,2,0,3,3,7,1,1,2,2,4,17043,14,1979,1998,0,1362,1362,1586,1979.0,435,192,0,181000
3,0,2,6,1,3,1,2,3,4,0,2,0,2,3,5,1,1,1,2,4,4928,13,1976,1976,120,958,1078,958,1977.0,440,0,205,128000
3,3,5,6,1,3,1,3,3,4,0,1,1,3,3,6,1,1,1,2,4,7590,12,1966,1966,512,148,660,1348,1966.0,453,188,108,155000
3,3,2,5,1,3,1,3,3,4,0,1,1,3,0,6,0,0,1,2,0,8973,12,1958,1991,567,413,1008,1053,1998.0,750,0,80,150000
3,3,5,7,1,3,1,3,3,0,0,2,1,4,2,8,2,1,0,2,4,14200,12,1966,1966,445,479,924,2157,1966.0,487,105,66,226000
3,0,5,6,1,2,2,2,3,0,1,2,1,3,2,7,1,3,1,2,4,12224,8,2000,2000,695,297,992,2054,2000.0,390,24,48,244000
3,3,2,5,1,3,1,3,3,2,1,1,0,3,2,7,0,5,2,2,4,7388,12,1959,2002,405,658,1063,1327,1974.0,624,0,0,150750
3,0,2,8,1,2,2,0,3,0,1,2,0,2,2,6,0,1,0,2,4,6853,23,2001,2002,1005,262,1267,1296,2001.0,471,192,25,220000
3,0,2,5,1,3,1,3,3,2,0,2,1,3,3,7,1,1,1,2,4,10335,19,1968,1993,570,891,1461,1721,1968.0,440,0,96,180000
3,3,2,7,3,3,2,3,3,2,0,2,0,3,3,7,1,1,2,2,4,10400,14,1970,1970,0,1304,1304,1682,1970.0,530,98,0,174000
3,0,2,5,1,3,1,3,3,4,0,2,0,3,3,5,1,1,1,1,4,10355,12,1967,1967,695,519,1214,1214,1967.0,318,0,111,143000
3,3,2,7,1,3,1,3,3,2,0,3,0,5,3,9,0,0,2,3,3,11070,11,1988,1989,0,1907,1907,1959,1989.0,766,0,0,171000
3,0,5,8,1,2,2,2,2,0,0,2,1,3,2,7,2,1,0,3,4,9066,5,1999,2000,668,336,1004,1852,1999.0,660,224,106,230000
